pair_id,option_a,option_b,zipf_a,zipf_b,zipf_diff_a_minus_b,option_a_share_balanced,preference_strength
taste_sweet_bitter,sweet,bitter,4.91,4.21,0.7000000000000002,0.9063805970149253,0.8127611940298507
texture_smooth_rough,smooth,rough,4.4,4.49,-0.08999999999999986,0.8830845771144279,0.7661691542288558
sound_loud_quiet,loud,quiet,4.53,4.65,-0.1200000000000001,0.12907557409206513,0.7418488518158697
motion_fast_slow,fast,slow,5.13,4.85,0.28000000000000025,0.8647642679900744,0.7295285359801489
direction_up_down,up,down,6.39,5.88,0.5099999999999998,0.824731800056788,0.6494636001135761
terrain_mountain_valley,mountain,valley,4.73,4.72,0.010000000000000675,0.8190476778351152,0.6380953556702305
time_early_late,early,late,5.43,5.34,0.08999999999999986,0.8143411330049262,0.6286822660098523
temperature_warm_cold,warm,cold,4.71,5.02,-0.3099999999999996,0.8119453612027869,0.6238907224055739
abstract_simple_complex,simple,complex,5.08,4.86,0.21999999999999975,0.7860804991971975,0.5721609983943949
color_blue_red,blue,red,5.13,5.32,-0.1900000000000004,0.744346656887911,0.48869331377582204
density_light_heavy,light,heavy,5.33,4.96,0.3700000000000001,0.7397753643367678,0.47955072867353565
time_morning_evening,morning,evening,5.33,4.86,0.46999999999999975,0.7327815019196819,0.4655630038393639
object_candle_lamp,candle,lamp,3.88,4.05,-0.16999999999999993,0.2698019801980198,0.46039603960396036
abstract_narrow_wide,narrow,wide,4.39,4.96,-0.5700000000000003,0.27157445853439566,0.4568510829312087
shape_circle_square,circle,square,4.55,4.84,-0.29000000000000004,0.7111085177996708,0.42221703559934154
nature_river_forest,river,forest,5.03,4.7,0.33000000000000007,0.294103556292611,0.41179288741477804
sound_sharp_mellow,sharp,mellow,4.48,3.32,1.1600000000000006,0.29735660847880296,0.40528678304239407
object_cup_plate,cup,plate,5.11,4.55,0.5600000000000005,0.6480099502487562,0.29601990049751237
texture_soft_hard,soft,hard,4.68,5.53,-0.8500000000000005,0.645519801980198,0.29103960396039597
weather_humid_dry,humid,dry,3.5,4.74,-1.2400000000000002,0.3716011526525787,0.2567976946948426
weather_windy_still,windy,still,3.57,5.92,-2.35,0.3757617235107719,0.24847655297845617
material_glass_stone,glass,stone,4.85,4.8,0.04999999999999982,0.41657248851436013,0.16685502297127974
direction_left_right,left,right,5.62,5.96,-0.33999999999999986,0.42162125641844583,0.15675748716310833
material_wood_metal,wood,metal,4.78,4.82,-0.040000000000000036,0.5778952631384023,0.15579052627680468
object_key_coin,key,coin,5.12,4.19,0.9299999999999997,0.5480369997297496,0.09607399945949924
size_small_large,small,large,5.51,5.39,0.1200000000000001,0.4538388049331249,0.09232239013375021
taste_salty_sour,salty,sour,3.74,3.88,-0.13999999999999968,0.5419504720785102,0.08390094415702043
color_yellow_gray,yellow,gray,4.69,4.45,0.2400000000000002,0.5408728179551122,0.08174563591022443
color_green_purple,green,purple,5.13,4.32,0.8099999999999996,0.5175371287128713,0.03507425742574255
shape_triangle_oval,triangle,oval,3.93,3.98,-0.04999999999999982,0.499200441135925,0.0015991177281500235
